ID_Explotacion,Provincia,Actividad,Superficie_Hectareas,Edad_Productor,Nivel_Tecnificacion,Produccion_Toneladas,Costo_Produccion,Precio_Venta_Tonelada,Ingresos,Cantidad_Empleados,Uso_Riego,Rentabilidad_Porcentaje,Indice_Sustentabilidad
22,Chaco,soja,"174,7",29,Medio,"208,9",62457,400,83560,8,Sí,"30,5","88,3"
23,La Pampa,Soja,"235,3",55,Alto,"500,3",111801,641,320692,7,Sí,"184,1","76,6"
24,Córdoba,Ganaderia,"37,1",24,Medio,"49,5",9063,460,22770,2,No,"148,3","59,1"
25,Córdoba,Maiz,"158,9",38,Alto,"171,7",22468,315,54085,6,Sí,"142,7",93
26,Chaco,Fruticultura,"398,7",49,Medio,"699,2",133633,765,534888,12,No,"301,7","73,1"
27,Córdoba,Soja,0,46,Medio,251,96363,767,192517,6,No,"102,7","45,3"
28,Mendoza,Maiz,"127,8",56,Medio,"189,9",23508,558,105964,0,No,"354,3","39,7"
29,La Pampa,Soja,5,76,Bajo,10,3447,416,4160,0,No,"16,5","74,6"
30,La Pampa,Maiz,"291,8",52,Alto,"569,9",108476,775,441672,4,No,"304,9","50,9"
31,Salta,Soja,"20,4",50,Bajo,"25,2",9969,514,12952,1,No,"25,1",68
32,Chaco,Fruticultura,"336,7",50,Medio,"609,3",123673,290,176697,14,Sí,"46,5","64,7"
33,Buenos Aires,Trigo,"290,9",41,Medio,"377,9",151414,459,173456,7,Sí,"14,7","50,1"
34,Mendoza,Maiz,"224,1",38,Alto,"335,4",127824,560,187824,6,Sí,"42,9","86,1"
35,Entre Ríos,Soja,"42,8",44,Medio,"56,7",11360,362,20525,5,No,"80,9","43,6"
36,Santa Fe,Lecheria,"289,9",73,Medio,"426,3",64651,403,171798,1,No,"165,4","63,5"
37,La Pampa,Fruticultura,"225,9",48,Bajo,"147,2",28617,584,85964,0,Sí,"199,4","50,1"
38,Buenos Aires,Maiz,124,47,Bajo,"175,8",28764,572,100557,4,Sí,"250,9","70,9"
39,La Pampa,Ganaderia,"75,7",22,Bajo,"63,6",24731,464,29510,2,Sí,"24,2","71,6"
40,Santa Fe,Fruticultura,"347,3",65,Alto,"455,9",140949,651,296790,12,No,"109,7","54,4"
41,Mendoza,Fruticultura,"325,7",42,Bajo,"268,8",38454,283,76070,5,Sí,"99,2","67,4"
42,Mendoza,Maiz,"240,5",50,Bajo,"335,5",120256,587,196938,7,Sí,"59,3","63,1"
43,Córdoba,Fruticultura,"284,6",79,Alto,"535,9",138607,647,346727,7,Sí,"152,7","96,6"
44,La Pampa,Ganaderia,"152,1",49,Bajo,"179,8",44548,717,128916,4,No,"186,1","52,5"
45,Entre Ríos,Soja,"62,5",28,Medio,"119,5",35786,697,83291,3,Sí,"134,8","73,9"
46,Chaco,Fruticultura,"392,2",73,Medio,"703,9",192924,629,442753,12,Sí,"127,5","55,6"
47,Chaco,Fruticultura,"225,2",50,Medio,193,27358,578,111554,6,Sí,"312,1","70,5"
48,Chaco,Ganaderia,"283,7",45,Bajo,"224,2",90215,605,135641,8,No,"54,2","70,8"
49,Córdoba,Soja,"412,9",43,Medio,,154704,770,528913,6,No,"239,9","69,9"
50,Córdoba,Ganaderia,"272,5",61,Alto,"620,2",151176,501,310720,2,Sí,"110,2","88,5"
51,Córdoba,Lecheria,"199,6",46,Bajo,259,62206,762,197358,6,No,217,39
52,Santa Fe,Lecheria,"259,1",38,Medio,"327,5",44194,638,208945,8,No,"374,1","51,6"
53,Salta,Maiz,"323,6",49,Alto,"691,4",86315,461,318735,14,Sí,"268,1","82,1"
54,Buenos Aires,Ganaderia,"390,1",48,Alto,"888,6",283453,518,460294,11,Sí,"65,2","64,8"
55,Chaco,Ganaderia,"226,7",45,Bajo,"207,1",47969,561,116183,9,No,"140,5","57,3"
56,Santa Fe,Maiz,"452,6",67,Alto,"560,8",156268,567,317973,7,Sí,"98,6","83,7"
57,Mendoza,Lecheria,150,50,Medio,"198,9",44029,570,113373,4,No,"159,5","55,8"
58,La Pampa,Trigo,"101,6",55,Alto,"222,4",40759,626,139222,0,Sí,"246,4","83,3"
59,Mendoza,Trigo,"170,8",46,Alto,"273,7",78139,378,103458,10,Sí,"28,8",82
60,Chaco,Trigo,"183,6",41,Medio,"197,3",75596,737,145410,8,sí,"95,2","89,9"
61,Buenos Aires,Maiz,"77,1",57,Alto,154,48541,440,67760,0,Sí,"42,2",97
62,La Pampa,Soja,"250,6",39,Bajo,"374,7",93638,600,224820,8,No,"142,6","42,1"
63,Entre Ríos,Lecheria,"273,3",33,Alto,"657,8",233270,607,399284,4,Sí,"67,3","66,7"
64,Mendoza,Soja,"207,8",45,Alto,,113681,627,321274,3,Sí,"177,7",70
65,Buenos Aires,Lecheria,"78,3",80,Medio,"103,5",21718,463,47920,6,Sí,"119,7","80,4"
66,Entre Ríos,Maiz,0,40,Medio,"170,9",22119,751,128345,3,No,"484,6","70,8"
67,Entre Ríos,ganaderia,"406,6",63,Medio,"712,1",194679,493,351065,12,Sí,"77,4",-20
68,La Pampa,Fruticultura,"79,9",58,Medio,"97,9",20692,688,67355,0,Sí,"221,4","64,5"
69,Buenos Aires,Maiz,"162,6",34,Alto,,73309,790,252958,3,No,"243,7","52,8"
70,Mendoza,Fruticultura,"222,7",42,Medio,"349,6",67927,299,104530,7,Sí,"54,3","85,7"
71,Chaco,Lecheria,"219,8",67,Alto,"246,6",41724,364,89762,2,No,"118,6","63,8"
72,Córdoba,Soja,"214,8",28,Medio,"197,9",58735,645,127645,5,Sí,"116,4","56,8"
73,La Pampa,Trigo,"216,8",48,Medio,376,49919,509,191384,6,Sí,"279,7",65
74,Santa Fe,Maiz,"179,2",55,Medio,"233,5",32991,749,174891,7,No,"433,9",62
75,Santa Fe,Maiz,"251,7",76,Bajo,"212,7",70718,417,88695,3,No,"28,7","74,6"
76,Córdoba,Maiz,"54,5",60,Medio,"61,9",25559,328,20303,0,No,"-21,7","45,8"
77,Santa Fe,Lecheria,"127,6",41,Alto,"162,1",25476,718,116387,3,Sí,"353,5","98,1"
78,Buenos Aires,Trigo,0,55,Bajo,"330,6",136482,695,229767,7,Sí,"66,5","61,6"
79,Buenos Aires,Fruticultura,"409,1",44,Medio,466,60258,368,171488,13,No,"183,5","73,4"
80,Entre Ríos,Trigo,"450,1",61,Bajo,"329,5",110072,641,211209,12,Sí,"96,6","63,7"
81,Buenos Aires,Lecheria,204,41,Medio,"364,9",103105,305,111294,1,SI,"8,8",69
82,Chaco,Soja,"315,2",47,Alto,"604,2",136351,426,257389,9,Sí,"89,6","61,4"
83,Salta,Soja,"229,9",75,Bajo,"226,4",44620,270,61128,9,Sí,"33,1",80
84,La Pampa,Trigo,"135,7",60,Bajo,,29837,774,86146,2,No,"192,6","40,8"
85,Salta,Maiz,"370,4",74,Medio,"537,1",115293,465,249751,13,Sí,"113,5","54,8"
86,Buenos Aires,Trigo,"114,1",33,Alto,259,79599,365,94535,1,Sí,"15,8","69,4"
87,La Pampa,Trigo,"386,3",48,Bajo,"418,9",100867,667,279406,9,Sí,"174,6","77,2"
88,Córdoba,Fruticultura,"306,5",37,Bajo,"360,3",148958,391,140877,10,No,"-6,2",62
89,Santa Fe,Fruticultura,"155,4",58,Alto,"198,8",69422,717,142539,2,No,"102,1","62,7"
90,Salta,Ganaderia,"123,3",50,Medio,"225,8",75676,711,160543,1,No,"112,6","49,2"
91,Entre Ríos,Lecheria,173,44,Bajo,"153,9",18520,497,76488,5,No,"316,3","60,3"
92,La Pampa,Soja,"356,7",37,Alto,,142675,520,394004,7,No,"174,1","80,3"
93,Santa Fe,Maiz,"109,7",53,Medio,"125,6",18119,374,46974,0,NO,"162,5","73,9"
94,La Pampa,Fruticultura,5,44,Medio,10,2145,758,7580,4,No,"255,8","74,7"
95,Buenos Aires,Soja,356,56,Alto,"868,4",355323,658,571407,8,No,"62,3",73
96,Salta,Trigo,56,25,Bajo,"39,9",10562,269,10733,6,Sí,"2,9","85,9"
97,Córdoba,Maiz,"206,8",40,Bajo,309,75561,441,136269,5,No,"85,3","62,6"
98,Chaco,Soja,"259,9",60,Medio,"502,4",150475,394,197945,6,Sí,"32,9","89,3"
99,Chaco,Ganaderia,"66,9",41,Alto,"84,4",23132,522,44056,1,No,88,"57,8"
100,La Pampa,Ganaderia,"593,1",44,Medio,"1120,1",208412,290,324829,12,No,"55,6",42
101,La Pampa,Trigo,483,62,Bajo,"535,2",193616,561,300247,12,Sí,"52,3","67,5"
102,Chaco,Soja,"131,7",24,Bajo,"167,7",24811,353,59198,1,No,-80,"35,8"
103,Santa Fe,Lecheria,"285,7",36,Bajo,"285,9",53517,582,166393,7,No,"211,3","60,3"
104,Entre Ríos,Lecheria,"250,8",50,Alto,"273,8",103074,507,138816,7,Sí,"38,1","88,7"
105,Entre Ríos,Maiz,"235,6",55,Medio,"201,7",76223,564,113758,3,Sí,"46,4",58
106,Salta,Ganaderia,"281,7",46,Medio,,166283,617,264322,8,No,"54,8","46,4"
107,Chaco,Fruticultura,"321,1",47,Alto,"347,2",52455,656,227763,9,Sí,"338,8",84
108,Córdoba,Ganaderia,"328,9",56,Bajo,"450,4",89830,380,171152,11,No,"90,3","46,7"
109,Entre Ríos,Lecheria,"146,9",48,Alto,"357,6",66634,756,270345,0,No,"306,5","81,3"
110,La Pampa,Lecheria,5,36,Medio,10,2045,610,6100,0,No,"201,4","67,8"
111,Chaco,Ganaderia,"308,1",53,Medio,"566,4",104952,637,360796,4,No,239,43
112,Santa Fe,Soja,"117,2",60,Bajo,,27073,579,46609,4,Sí,68,"83,7"
113,Mendoza,soja,"144,2",45,Alto,301,119396,683,205583,5,No,"68,2","52,9"
114,Córdoba,Trigo,"173,8",55,Alto,,76318,499,185877,5,Sí,"142,5","96,5"
115,La Pampa,Ganaderia,"262,4",36,Bajo,"233,4",69160,606,141440,3,Sí,"99,6","62,8"
116,Mendoza,Maiz,108,54,Medio,,25276,538,71607,1,No,"183,6","52,8"
117,La Pampa,Ganaderia,"295,6",60,Alto,"611,5",209423,289,176723,11,Sí,"-16,9","63,8"
118,Entre Ríos,Fruticultura,"345,5",31,Medio,"296,3",73980,413,122371,10,Sí,"66,6","62,9"
119,Buenos Aires,Lecheria,"459,5",60,Bajo,630,87757,782,492660,6,No,"460,9","69,3"
120,Salta,Ganaderia,"357,5",47,Medio,"381,5",146553,257,98045,5,Sí,"-29,2","67,5"
121,Salta,Lecheria,"340,7",22,Alto,"441,5",-10000,761,335981,11,Sí,"206,4","74,6"
122,Entre Ríos,Maiz,"298,8",33,Bajo,"372,9",87386,395,147295,5,Sí,"64,5","88,1"
123,Entre Ríos,Ganaderia,"196,5",35,Bajo,"293,3",109130,671,196804,0,Sí,"75,4","65,3"
124,Salta,Ganaderia,"408,9",41,Medio,"391,9",72991,272,106596,7,No,47,"56,5"
125,Buenos Aires,Fruticultura,0,30,Alto,250,83829,253,63250,1,Sí,"-27,8","68,5"
126,Salta,Fruticultura,"163,5",47,Alto,"272,2",78845,469,127661,7,Sí,"66,8","75,6"
127,Córdoba,Maiz,"135,9",12,Alto,"253,9",74789,504,127965,1,No,"75,7","79,2"
128,Chaco,Soja,"236,5",56,Medio,"196,9",53757,799,157323,3,Sí,"196,4",65
129,Chaco,Trigo,"278,5",44,Medio,"295,9",102117,460,136114,5,Sí,"31,1","66,1"
130,Entre Ríos,Ganaderia,0,59,Bajo,"264,2",56343,395,104359,7,No,"84,3","64,7"
131,Salta,Fruticultura,"238,8",63,Alto,"267,1",70602,261,69713,5,Sí,"-2,2","88,4"
132,Santa Fe,SOJA,"277,3",43,Medio,"415,8",136784,711,295633,8,No,"118,7","43,3"
133,La Pampa,Lecheria,"161,1",47,Medio,"174,2",71277,782,136224,4,No,"89,2","51,2"
134,Mendoza,Trigo,"330,1",48,Bajo,"265,4",106240,665,176490,4,No,"70,5","69,8"
135,Mendoza,Lecheria,"131,5",24,Alto,"141,6",29312,379,53666,0,Sí,88,"83,1"
136,Salta,Soja,"227,9",66,Medio,"214,3",33762,524,112293,8,Sí,"232,4","87,3"
137,Buenos Aires,Trigo,200,57,Medio,"262,3",54167,470,123281,2,No,"127,2",43
138,Entre Ríos,Fruticultura,"275,2",35,Medio,"283,5",91510,682,193347,2,No,"115,1","52,3"
139,Chaco,Soja,"201,4",57,Medio,"271,6",106302,641,174095,2,No,"65,2","48,7"
140,Santa Fe,Fruticultura,248,60,Bajo,"180,1",29247,322,57992,9,Sí,"100,2","86,2"
141,La Pampa,Fruticultura,"242,6",54,Medio,"258,1",104720,782,201834,0,Sí,"93,5","65,8"
142,Córdoba,Fruticultura,"310,5",60,Bajo,"321,2",79640,351,112741,4,Sí,"42,6","86,7"
143,Entre Ríos,Maiz,"17,5",39,Medio,"29,7",9127,483,14345,0,Sí,"58,7","62,3"
144,Buenos Aires,Fruticultura,"258,4",40,Bajo,"211,2",55185,722,152486,4,Sí,"173,8","82,1"
145,Entre Ríos,Lecheria,0,64,Bajo,"95,2",24292,291,27703,0,Sí,"18,8","67,3"
146,Salta,Trigo,225,57,Bajo,"236,9",88876,456,108026,6,Si,"24,9","38,3"
147,Chaco,Fruticultura,"290,1",41,Medio,"392,3",79103,496,194580,10,No,"149,5",140
148,La Pampa,Soja,"187,3",33,Alto,"321,3",52405,566,181855,4,No,"243,9",81
149,Salta,Fruticultura,"280,1",36,Medio,"226,1",86279,727,164374,10,No,"88,8","55,4"
150,La Pampa,Soja,"66,8",42,Alto,"162,2",31573,469,76071,2,No,"144,6","69,8"
151,Entre Ríos,Ganaderia,"154,8",48,Medio,"194,4",45500,683,132775,6,Sí,"192,6","58,1"
152,Buenos Aires,Ganaderia,"267,9",67,Alto,"638,9",175894,311,198697,4,No,"13,6","51,3"
153,Entre Ríos,Maiz,"279,4",46,Medio,"451,4",74316,509,229762,10,No,"213,8","48,9"
154,Santa Fe,Fruticultura,"257,6",65,Bajo,"230,3",47477,555,127816,4,No,"169,1","37,2"
155,Buenos Aires,Soja,"196,5",25,Bajo,"274,6",38086,484,132906,11,Sí,"248,8","79,5"
156,Chaco,Trigo,259,67,Alto,"425,8",82799,301,128165,5,No,"53,5","53,3"
157,Entre Ríos,Ganaderia,"295,5",53,Medio,"566,9",186857,490,277781,8,No,"45,1","53,3"
158,Mendoza,Soja,"424,3",58,Bajo,,98987,327,201399,12,No,"101,6","46,6"
159,Santa Fe,Lecheria,"222,8",48,Alto,"381,5",135690,663,252934,3,Sí,"84,4","92,8"
160,La Pampa,Fruticultura,"206,8",56,Medio,374,81324,461,172414,5,Sí,116,"52,5"
161,Santa Fe,Ganaderia,"86,3",61,Alto,"90,7",29436,409,37096,0,Sí,"26,4","87,1"
162,Mendoza,Maiz,96,24,Bajo,"124,2",25411,700,86940,0,No,"242,7","55,7"
163,Chaco,Soja,"329,9",20,Alto,"762,5",137277,709,540612,2,Sí,"291,7","62,5"
164,Mendoza,Fruticultura,"63,5",42,Alto,"96,6",35748,301,29076,4,Sí,"-19,6","99,8"
165,Santa Fe,Soja,"293,6",44,Bajo,"439,3",125066,689,302677,4,No,"139,1","62,2"
166,Córdoba,Trigo,"128,9",70,Alto,"165,9",22641,342,56737,5,No,"150,3","48,2"
167,Santa Fe,Soja,"239,3",54,Medio,"210,2",79313,401,84290,8,No,"9,6","61,2"
168,Chaco,Maiz,"88,4",27,Alto,"105,2",14342,314,33032,2,No,"125,5","77,8"
169,Buenos Aires,Trigo,"53,7",45,Alto,"66,5",27377,308,20482,7,Sí,"-22,8","69,9"
170,Mendoza,Lecheria,"220,4",57,Medio,"265,1",49364,494,130959,3,Sí,"163,5","55,7"
171,La Pampa,Trigo,"381,3",55,Bajo,"256,3",96419,515,131994,9,No,"39,4","44,4"
172,Buenos Aires,Trigo,"337,5",47,Bajo,"331,1",118783,456,150981,8,No,32,"66,8"
173,La Pampa,Trigo,"59,3",51,Medio,"72,9",28463,404,29451,1,No,"1,8","45,4"
174,Entre Ríos,SOJA,"167,8",49,Bajo,"234,4",43177,473,110871,9,Sí,"152,5","52,8"
175,Salta,Lecheria,"190,6",42,Medio,"320,6",69230,640,205184,5,No,"194,9","38,9"
176,Mendoza,Trigo,"60,6",44,Alto,"109,9",31198,297,32640,1,No,"5,5","80,5"
177,Salta,Maiz ,"267,6",32,Medio,"223,1",70621,493,109988,2,Sí,"56,2",88
178,La Pampa,Lecheria,295,49,Alto,"749,6",195199,499,374050,4,Sí,"90,5","77,6"
179,Santa Fe,Fruticultura,"356,9",12,Alto,"422,5",112521,733,309692,7,No,"170,2","73,9"
180,Entre Ríos,Maiz ,"341,2",57,Bajo,"218,8",29616,263,57544,7,No,"93,4","57,5"
181,Salta,Trigo,"198,7",63,Alto,"478,6",196596,674,322576,6,No,60,"78,9"
182,Salta,Soja,"401,5",58,Medio,"597,3",187364,613,366144,6,Sí,"96,9","55,4"
183,Salta,Maiz,5,37,Medio,10,2560,346,3460,0,Sí,"36,9","87,5"
184,Buenos Aires,Trigo,"473,8",60,Bajo,"301,8",116597,294,88729,11,No,"-28,6",48
185,Córdoba,Ganaderia,"121,1",74,Medio,"215,2",37131,610,131272,9,no,"252,2",85
186,La Pampa,Soja,"345,8",55,Medio,"481,8",86380,642,309315,11,Sí,261,"55,3"
187,Buenos Aires,SOJA,"127,9",62,Alto,"179,1",60021,787,140951,4,No,"137,6","56,1"
188,Mendoza,Trigo,"80,6",47,Alto,"138,1",43749,479,66149,0,No,"48,5","61,1"
189,Mendoza,Soja,"55,6",60,Alto,"80,4",29394,779,62631,0,Sí,"112,9","60,1"
190,Entre Ríos,Lecheria,"249,3",32,Bajo,"292,5",36476,411,120217,6,NO,"232,5","37,1"
191,Santa Fe,Ganaderia,"174,5",43,Medio,"324,8",121204,670,217616,2,No,"83,9","35,5"
192,Salta,Soja,329,44,Alto,486,143693,420,204120,10,Sí,"41,5","63,7"
193,La Pampa,soja,"312,8",43,Medio,298,53762,560,166880,8,Sí,210,"88,3"
194,Córdoba,Lecheria,79,42,Medio,125,38322,304,38000,3,No,"2,1","56,6"
195,Mendoza,Soja,"222,4",80,Medio,"300,5",97032,383,115091,5,No,"16,4","62,6"
196,La Pampa,Lecheria,"136,6",57,Medio,"197,9",53292,657,130020,1,No,"141,8","57,3"
197,Córdoba,Fruticultura,"520,6",55,Medio,418,99160,729,304722,9,no,"205,3","35,5"
198,Salta,Fruticultura,"290,2",32,Bajo,"375,5",84721,727,272988,5,Sí,"222,5","83,5"
199,Mendoza,Ganaderia,"186,5",41,Alto,"205,8",79571,397,81702,8,Sí,"-2,2","98,2"
200,La Pampa,Lecheria,"184,5",40,Medio,"183,3",54122,315,57739,4,No,"11,6","57,7"
201,La Pampa,Maiz,"529,1",49,Alto,1195,487853,342,408690,14,No,"-14,9","84,7"
202,Salta,Ganaderia,"271,2",44,Bajo,"183,8",57222,316,58080,8,Sí,4,"74,6"
203,Chaco,Ganaderia,247,49,Medio,"241,1",50956,580,139838,11,Sí,"170,4","86,2"
204,Santa Fe,Trigo,"95,2",54,Bajo,"58,2",12566,716,41671,1,No,228,"74,3"
205,Buenos Aires,Fruticultura,148,46,Alto,329,96731,529,174041,2,Sí,"80,7","73,1"
206,Santa Fe,Lecheria,"115,9",31,Medio,"115,8",33319,575,66585,2,No,102,"37,2"
207,La Pampa,Lecheria,"356,1",56,Medio,"466,9",157965,480,224112,0,No,"40,2","35,4"
208,Buenos Aires,Trigo,"227,7",46,Medio,"261,2",54522,308,80449,2,Sí,"43,5","62,7"
209,La Pampa,Soja,"195,8",51,Alto,"303,9",106737,280,85092,9,No,"-20,1",55
210,Entre Ríos,soja,5,61,Medio,10,1990,716,7160,0,Sí,"257,4","73,9"
211,Entre Ríos,Trigo,"413,3",52,Medio,"531,2",183603,416,220979,9,No,"25,2","61,3"
212,Entre Ríos,Trigo,"146,1",58,Medio,"153,1",36854,715,109466,4,Sí,"200,1","58,1"
213,Entre Ríos,Soja,"217,5",49,Medio,354,133578,252,89208,10,No,"-37,9","39,5"
214,Entre Ríos,Soja,"224,8",51,Bajo,"158,7",35496,354,56179,9,Sí,"61,1","54,9"
215,La Pampa,Fruticultura,"251,2",50,Medio,"417,1",95306,798,332845,2,Sí,"247,2","59,5"
216,La Pampa,Ganaderia,"326,4",42,Medio,"381,8",158294,706,269550,1,No,74,"62,1"
217,Chaco,Lecheria,"99,7",38,Bajo,"119,9",40469,660,79134,6,No,96,"39,7"
218,Mendoza,Trigo,"132,4",41,Medio,"164,7",32396,628,103431,5,No,"224,3","71,1"
219,La Pampa,Fruticultura,"164,9",37,Medio,"241,2",70930,531,128077,7,Sí,"82,1","50,4"
220,Mendoza,Trigo,162,59,Medio,"147,6",49480,501,73947,5,Sí,"47,1","80,8"
221,La Pampa,Ganaderia,"58,8",50,Alto,"62,6",21636,611,38248,5,No,"77,8","45,5"
222,Mendoza,Maiz,"207,9",60,Alto,"219,2",39394,649,142260,2,Sí,"256,2","79,8"
223,La Pampa,Soja,"230,2",21,Alto,"340,3",122879,532,181039,6,No,"50,8","50,4"
224,Córdoba,Fruticultura,"93,2",57,Bajo,"126,9",46173,303,38450,3,No,"-18,7","51,9"
225,La Pampa,Trigo,"273,8",50,Alto,"530,6",187553,298,158118,2,Sí,"-16,6","77,6"
226,La Pampa,Maiz,"67,8",33,Alto,"116,8",46262,378,44150,0,No,-3,81
227,Buenos Aires,Soja,"101,7",81,Bajo,"99,5",20212,333,33133,3,Sí,"59,9","71,6"
228,Chaco,Lecheria,"235,2",36,Medio,"345,7",76673,316,109241,7,Sí,"44,8","67,4"
229,Entre Ríos,Maiz,"155,6",60,Alto,"333,5",77690,307,102384,7,No,"36,6","62,3"
230,La Pampa,Trigo,"277,9",52,Medio,"242,9",83736,776,188490,10,No,"128,6","52,9"
231,Salta,Lecheria,"190,2",49,Alto,"197,9",33301,309,61151,8,Sí,"85,7","69,2"
232,Mendoza,Ganaderia,"136,4",28,Bajo,"193,9",32726,376,72906,3,Sí,"120,4",68
233,Salta,Trigo,"55,9",51,Alto,"130,1",18966,595,77409,3,No,"303,4","49,6"
234,Salta,Fruticultura,"280,8",64,Bajo,391,117656,763,298333,3,Sí,"158,2","84,9"
235,Entre Ríos,Lecheria,"195,1",60,Medio,"290,4",34876,763,221575,8,Sí,"531,4","55,8"
236,Buenos Aires,Soja,"270,8",43,Alto,"351,6",109949,660,232056,1,Sí,"107,8","86,1"
237,Santa Fe,Maiz,"165,4",64,Alto,"406,4",54005,760,308864,7,No,"468,5","57,4"
238,Salta,Fruticultura,"261,2",44,Alto,"658,8",161647,296,195004,5,No,"19,1","77,2"
239,La Pampa,Fruticultura,"430,2",64,Medio,"685,5",277859,695,476422,5,Sí,"69,4","86,4"
240,Chaco,Maiz,"78,1",60,Medio,"97,7",34166,612,59792,2,No,"70,9","68,2"
241,Chaco,Fruticultura,"290,9",52,Alto,460,74259,260,119600,9,No,"58,8","73,5"
242,Entre Ríos,Trigo,"459,6",47,Medio,"536,7",100640,302,162083,13,No,"56,3","64,9"
243,Entre Ríos,Maiz,304,34,Medio,"484,5",110451,652,315894,6,Sí,"184,1","50,6"
244,Entre Ríos,Soja,"303,5",19,Alto,"615,6",155172,566,348429,0,Sí,"128,7","93,9"
245,Entre Ríos,Ganaderia,"429,2",51,Bajo,360,94449,511,183960,10,Sí,"94,1","53,1"
246,Mendoza,soja,"275,7",49,Medio,"294,2",57307,676,198879,8,No,"250,2","57,5"
247,Mendoza,Lecheria,"169,7",46,Medio,"233,5",83425,465,108577,14,Sí,"31,3","79,6"
248,Córdoba,Fruticultura,"147,6",64,Medio,"121,4",17360,576,69926,4,Sí,"306,6","68,9"
249,Buenos Aires,Fruticultura,"221,2",47,Bajo,,49735,346,88922,7,No,"75,3",36
250,Buenos Aires,Ganaderia,"230,8",27,Bajo,"203,6",44246,256,52121,7,No,"16,4","39,1"
251,Chaco,Ganaderia,"162,9",56,Bajo,"121,7",44173,345,41986,5,No,"-1,5",35
252,Salta,Trigo,"285,3",64,Medio,,198617,404,207292,10,No,"3,8","48,1"
253,Chaco,Fruticultura,"167,6",52,Bajo,"156,2",34099,548,85597,1,Sí,"148,6","64,2"
254,La Pampa,Lecheria,"325,2",56,Medio,"601,8",99462,717,431490,9,No,"330,5",36
255,Entre Ríos,Soja,"182,8",50,Medio,"295,5",61529,546,161343,3,Sí,"157,3","77,3"
256,Buenos Aires,Ganaderia,"224,3",48,Bajo,232,72598,302,70064,2,Sí,"-4,2","71,3"
257,Buenos Aires,Lecheria,"418,9",63,Medio,"695,5",200542,779,541794,13,No,"165,3","58,5"
258,La Pampa,Fruticultura,5,49,Bajo,10,2497,738,7380,0,No,"193,5","39,9"
259,Chaco,Soja,"190,8",63,Medio,"321,3",126864,391,125628,4,No,"-1,7",74
260,Córdoba,Soja,"265,8",47,Bajo,"355,8",145698,623,221663,7,Sí,"53,8","81,3"
261,La Pampa,Maiz,"244,2",59,Bajo,"247,8",49716,519,128608,5,No,"154,1","57,8"
262,Buenos Aires,Ganaderia,"202,4",24,Medio,"351,8",129209,552,194193,7,Sí,"48,6","54,5"
263,Salta,Soja,"160,3",53,Bajo,"147,8",39186,678,100208,7,Sí,"156,3","52,1"
264,La Pampa,Maiz,"229,8",56,Alto,"284,5",63831,292,83074,8,Sí,31,"89,4"
265,Córdoba,Lecheria,"482,7",30,Medio,"577,6",180403,725,418760,8,No,"127,5","62,2"
